8,4,"SELECT COMMITTEE TO INVESTIGATE THE"
8,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
8,6,"U.S. HOUSE OF REPRESENTATIVES,"
8,7,"WASHINGTON, D.C."
8,11,"INTERVIEW OF: [x"
8,15,"Thursday, June 2, 2022"
8,17,"Washington, D.C."
8,20,"The interview in the above matter was held in Room 5480, O'Neill House Office"
8,21,"Building, commencing at 10:02 a.m."
8,22,"Present: Representatives Thompson, Aguilar, Schiff, Lofgren, and Cheney."
8,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764172"
9,1,"In any event, I called and I said, look, you know, what the hell is going on"
9,2,"here? And he said, the trouble is that all these people on the outside, not just J"
9,3,"but others too, are filling the President's ear with all this stuff about fraud, and they're"
9,4,"being very authoritative, and they know how to push the President's buttons, and they're"
9,5,"telling him what he wants to hear, and he seems inclined to believe it or go along with it."
9,6,"And, you know, that -- that is my conversation with Ji”"
9,7,"Ms. Cheney. Thank you very much. I appreciate it."
9,8,"And I'd also like to say hello to {NN who graduated ahead of me at the"
9,9,"University of Chicago."
9,10,"Mr. hm Ahead academically or ahead chronologically?"
9,11,"Ms. Cheney. Academically, not chronologically."
9,12,"Thank you."
9,13,"Mr. SJ I want to turn, Ms. Lofgren, to you. I know you wanted to ask"
9,14,"some questions about that November 23rd and perhaps some other meetings. So let"
9,15,"me give you a chance now to jump in and ask those questions."
9,16,"Ms. Lofgren. Thank you so much."
9,17,"And thanks, Mr. {i for your recounting of these events."
9,18,"Just a quick followup on the November 23rd meeting. You mentioned that the"
9,19,"fraud allegations were not correct. Did you go through the specifics with the President"
9,20,"in the various States at that meeting?"
9,21,"Mr. Hi I don't think I attempted to go through all of them. The one!"
9,22,"specifically remember addressing was -- were the Dominion machines."
9,23,"Ms. Lofgren. Okay."
9,24,"Mr. J And! made the point that it was crazy for them to be wasting their"
9,25,"time on this, because they can be easily checked, because they're tabulation machines,"
9,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764192"
10,1,"and all you have to do is compare the ballots with the tabulation, and I just thought it was"
10,2,"crazy."
10,3,"And I may have raised other ones with him, but I don't -- I can't really say that I"
10,4,"remember doing that. But I think I probably alluded to some of the other ones."
10,5,"Ms. Lofgren. Okay."
10,6,"In your book, you talk about a December 1st meeting with the President. Can"
10,7,"you tell us about that meeting, who was there and what you said and what others said?"
10,8,"Mr. MB Right."
10,9,"So, I mean, part of the context of that meeting was, after the November 23rd"
10,10,"meeting, I took -- I had talked to some Members on the Hill, Senators and -- more than"
10,11,"one Member, and a lot of people were asking, what do you make of -- you know, what's"
10,12,"going on? Is there going to be a transition? What do you make of these fraud claims?"
10,13,"And one of those calls -- I talked a couple of times, at least, with Senator"
10,14,". (J) and other Senators too. But J expressed concern about where"
10,15,"things were headed, and he said, you know, when I look around, it seems to me that"
10,16,"you're the best person to inject some reality into this situation; I hope you consider"
10,17,"speaking up. And I said that I was planning to do that but I wanted to make sure both as"
10,18,"to the timing and also I wanted to pin down a few more facts."
10,19,"I felt that, number one, if the President after the 23rd was going to become more"
10,20,"realistic, that would affect the timing of when I said something. But, also, I wanted to"
10,21,"make sure that, you know, I didn't say something about that I didn't see any evidence of"
10,22,"fraud and then have something dropped on me that was fairly significant. So I wanted"
10,23,"to do some more due diligence."
10,24,"So, with that as background, you know, I felt that things continued to deteriorate"
10,25,"between the 23rd and the weekend of the 29th. The President started meeting with"
10,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764193"
8,4,"SELECT COMMITTEE TO INVESTIGATE THE"
8,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
8,6,"U.S. HOUSE OF REPRESENTATIVES,"
8,7,"WASHINGTON, D.C."
8,11,"INTERVIEW OF: [x"
8,15,"Thursday, June 2, 2022"
8,17,"Washington, D.C."
8,20,"The interview in the above matter was held in Room 5480, O'Neill House Office"
8,21,"Building, commencing at 10:02 a.m."
8,22,"Present: Representatives Thompson, Aguilar, Schiff, Lofgren, and Cheney."
8,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764172"
9,1,"In any event, I called and I said, look, you know, what the hell is going on"
9,2,"here? And he said, the trouble is that all these people on the outside, not just J"
9,3,"but others too, are filling the President's ear with all this stuff about fraud, and they're"
9,4,"being very authoritative, and they know how to push the President's buttons, and they're"
9,5,"telling him what he wants to hear, and he seems inclined to believe it or go along with it."
9,6,"And, you know, that -- that is my conversation with Ji”"
9,7,"Ms. Cheney. Thank you very much. I appreciate it."
9,8,"And I'd also like to say hello to {NN who graduated ahead of me at the"
9,9,"University of Chicago."
9,10,"Mr. hm Ahead academically or ahead chronologically?"
9,11,"Ms. Cheney. Academically, not chronologically."
9,12,"Thank you."
9,13,"Mr. SJ I want to turn, Ms. Lofgren, to you. I know you wanted to ask"
9,14,"some questions about that November 23rd and perhaps some other meetings. So let"
9,15,"me give you a chance now to jump in and ask those questions."
9,16,"Ms. Lofgren. Thank you so much."
9,17,"And thanks, Mr. {i for your recounting of these events."
9,18,"Just a quick followup on the November 23rd meeting. You mentioned that the"
9,19,"fraud allegations were not correct. Did you go through the specifics with the President"
9,20,"in the various States at that meeting?"
9,21,"Mr. Hi I don't think I attempted to go through all of them. The one!"
9,22,"specifically remember addressing was -- were the Dominion machines."
9,23,"Ms. Lofgren. Okay."
9,24,"Mr. J And! made the point that it was crazy for them to be wasting their"
9,25,"time on this, because they can be easily checked, because they're tabulation machines,"
9,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764192"
10,1,"and all you have to do is compare the ballots with the tabulation, and I just thought it was"
10,2,"crazy."
10,3,"And I may have raised other ones with him, but I don't -- I can't really say that I"
10,4,"remember doing that. But I think I probably alluded to some of the other ones."
10,5,"Ms. Lofgren. Okay."
10,6,"In your book, you talk about a December 1st meeting with the President. Can"
10,7,"you tell us about that meeting, who was there and what you said and what others said?"
10,8,"Mr. MB Right."
10,9,"So, I mean, part of the context of that meeting was, after the November 23rd"
10,10,"meeting, I took -- I had talked to some Members on the Hill, Senators and -- more than"
10,11,"one Member, and a lot of people were asking, what do you make of -- you know, what's"
10,12,"going on? Is there going to be a transition? What do you make of these fraud claims?"
10,13,"And one of those calls -- I talked a couple of times, at least, with Senator"
10,14,". (J) and other Senators too. But J expressed concern about where"
10,15,"things were headed, and he said, you know, when I look around, it seems to me that"
10,16,"you're the best person to inject some reality into this situation; I hope you consider"
10,17,"speaking up. And I said that I was planning to do that but I wanted to make sure both as"
10,18,"to the timing and also I wanted to pin down a few more facts."
10,19,"I felt that, number one, if the President after the 23rd was going to become more"
10,20,"realistic, that would affect the timing of when I said something. But, also, I wanted to"
10,21,"make sure that, you know, I didn't say something about that I didn't see any evidence of"
10,22,"fraud and then have something dropped on me that was fairly significant. So I wanted"
10,23,"to do some more due diligence."
10,24,"So, with that as background, you know, I felt that things continued to deteriorate"
10,25,"between the 23rd and the weekend of the 29th. The President started meeting with"
10,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764193"
11,?,"delegations, and it looked to me there was maneuvering going on. And, you know, I"
11,?,"have no problem with going through the appropriate process to challenge an election"
11,?,"and, you know, through the processes of the courts or the regular processes of the State"
11,?,"government, but I was worried that I didn't have any transpar- -- you know, I didn't have"
11,?,"any visibility into what was going on, but it looked to me that the President was digging"
11,?,"in."
11,?,"And then, on November 29th, he appeared on the Maria Bartiromo show, ""Sunday"
11,?,"Futures"" I believe it was, and he said that the Department was missing in action. And,"
11,?,"you know, I will admit that I was annoyed by a basic dynamic which I actually told my staff"
11,?,"very soon after the election, which is, I didn't think the President would ever admit that"
11,?,"he lost the election, and he would blame it on fraud, and then he would blame the"
11,?,"actions and evidence on the Department of Justice."
11,?,"So I felt all along that people were going to be attacking the Department, saying"
11,?,"that, you know, we had ignored evidence of fraud. And so this got under my skin, but I"
11,?,"also felt it was time for me to say something."
11,?,"So I set up a lunch with the AP reporter Mike Balsamo. And I told him at lunch,"
11,?,"made the statement that, to date, we have not seen fraud on a scale that could've"
11,?,"effected a different outcome in the election. And I realized, when I said that, that that"
11,?,"was going to be in the news and go national."
11,?,"So I had a later meeting scheduled at the White House at 3 o'clock with J:"
11,?,"this was previously scheduled. So! knew this was going tocome up. And! went over"
11,?,"there, and I told my secretary that I thought I would probably be fired and told not to -- to"
11,?,"go home -- I mean, not go back to my office. So! said, you might have to pack up for"
11,?,"me."
11,?,"And so, when I got over there, I met with the chief of staff. He said the President"
11,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764194"
21,4,"SELECT COMMITTEE TO INVESTIGATE THE"
21,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
21,6,"U.S. HOUSE OF REPRESENTATIVES,"
21,7,"WASHINGTON, D.C."
21,11,"INTERVIEW OF: [i"
21,15,"Sunday, June 19, 2022"
21,17,"Washington, D.C."
21,20,"The interview in the above matter was held via Webex, commencing at 4:33 p.m."
21,21,"Present: Representative Schiff."
21,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767550"
22,1,"be required in my mind to convince me that there was -- there was sufficient fraud and"
22,2,"sufficient activity that would merit our involvement, no, never found any."
22,3,"Q__ Soit sounds like there were a multitude of claims brought to your attention"
22,4,"by constituents, other members of the House of Representatives, but in your view, there"
22,5,"was no credible evidence to support any of those claims. _ Is that correct?"
22,6,"A That's correct."
22,7,"Q EB I understand that, in late November, or November 22nd to"
22,8,"be specific, you received a phone call from President Trump and in which"
22,9,"they discussed the result of the Presidential election in Arizona with you."
22,10,"Do you recall that conversation?"
22,11,"A Ofcourse."
22,12,"Q_ Can you describe that phone call for us?"
22,13,"A Ican. My wife andI returned from church. We had been in very serious"
22,14,"discussion, EEE and I, for some -- couple weeks, at least, on what we might do"
22,15,"that would help restore confidence generally and defray some of this activity."
22,16,"So we had spoken a lot and when our chief first had called and had asked if I had"
22,17,"received -- been in contact with the White House and I said: No. No."
22,18,"She said: Well, they've been trying to get in touch with me, and I don't know"
22,19,"that they're going to ask, but we at least should be on the same page and have some, you"
22,20,"know, not move, take any motion or make any commitment without talking to each"
